Technique,Runs,Total Runs,Run Time (ms)
NakedSingle,57,9,0.0003
NakedSingle,57,9,0.0003
NakedSingle,66,9,0.0002
NakedSingle,17,9,0.0001
NakedSingle,57,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,7,9,0.0001
NakedSingle,17,9,0.0002
NakedSingle,57,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,7,9,0.0001
NakedSingle,10,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,57,9,0.0002
NakedSingle,66,9,0.0001
NakedSingle,7,9,0
NakedSingle,10,9,0.0001
NakedSingle,13,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,57,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,7,9,0
NakedSingle,10,9,0.0001
NakedSingle,13,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,43,9,0.0002
NakedSingle,57,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,7,9,0
NakedSingle,10,9,0.0001
NakedSingle,13,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,43,9,0.0001
NakedSingle,57,9,0.0002
NakedSingle,65,9,0.0003
NakedSingle,66,9,0.0002
NakedSingle,7,9,0.0001
NakedSingle,10,9,0.0001
NakedSingle,13,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,43,9,0.0001
NakedSingle,49,9,0.0002
NakedSingle,57,9,0.0002
NakedSingle,65,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,7,9,0
NakedSingle,10,9,0.0001
NakedSingle,13,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,35,9,0.0002
NakedSingle,43,9,0.0001
NakedSingle,49,9,0.0002
NakedSingle,57,9,0.0002
NakedSingle,65,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,7,9,0
NakedSingle,10,9,0.0001
NakedSingle,13,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,35,9,0.0002
NakedSingle,43,9,0.0001
NakedSingle,49,9,0.0002
NakedSingle,57,9,0.0002
NakedSingle,65,9,0.0002
NakedSingle,66,9,0.0002
NakedSingle,73,9,0.0002
