Difficulty,Difficulty Score,Time (ms),Backtrack Count,Backtrack Fail Count
Beginner,4200,1.2881,42,0
Beginner,3700,0.9888,37,0
Beginner,3800,0.7313,38,0
Beginner,3800,0.8602,38,0
Beginner,4100,1.0876,41,0
Beginner,4000,1.3686,40,0
Beginner,3700,0.8173,37,0
Beginner,4200,1.4575,42,0
Beginner,3700,0.5871,37,0
Beginner,3900,0.9841,39,0
Beginner,4100,0.9339,41,0
Beginner,4000,0.8791,40,0
Beginner,4000,1.0926,40,0
Beginner,4100,0.8376,41,0
Beginner,3900,1.6263,39,0
Beginner,4400,2.4062,44,0
Beginner,3800,1.1131,38,0
Beginner,3700,0.9507,37,0
Beginner,3700,1.031,37,0
Beginner,4300,4.1822,43,0
Beginner,4400,2.5426,44,0
Beginner,3900,1.1299,39,0
Beginner,4100,1.2026,41,0
Beginner,4200,1.3398,42,0
Beginner,3800,1.1409,38,0
Beginner,4300,0.9298,43,0
Beginner,4100,0.7682,41,0
Beginner,3800,0.575,38,0
Beginner,3800,0.5127,38,0
Beginner,3800,0.9628,38,0
Beginner,4000,0.6782,40,0
Beginner,3800,0.9951,38,0
Beginner,4000,1.1617,40,0
Beginner,4400,1.2182,44,0
Beginner,3700,0.5994,37,0
Beginner,3800,0.7038,38,0
Beginner,4200,1.0056,42,0
Beginner,3900,0.7834,39,0
Beginner,3800,0.5697,38,0
Beginner,3800,0.6606,38,0
Beginner,4000,1.085,40,0
Beginner,4400,1.1204,44,0
Beginner,4100,0.9929,41,0
Beginner,3700,0.7064,37,0
Beginner,3800,0.5137,38,0
Beginner,4300,1.0129,43,0
Beginner,4300,1.0865,43,0
Beginner,4100,0.791,41,0
Beginner,4000,0.8276,40,0
Beginner,4000,1.3665,40,0
Beginner,3900,0.6616,39,0
Beginner,3900,0.759,39,0
Beginner,3900,0.7431,39,0
Beginner,4200,1.121,42,0
Beginner,3900,0.7663,39,0
Beginner,3800,0.9307,38,0
Beginner,3900,0.7781,39,0
Beginner,3800,0.704,38,0
Beginner,4400,1.172,44,0
Beginner,4100,0.8441,41,0
Beginner,4200,1.126,42,0
Beginner,3900,0.9554,39,0
Beginner,4000,0.8979,40,0
Beginner,4100,1.0926,41,0
Beginner,4200,1.0581,42,0
Beginner,4000,0.83,40,0
Beginner,4400,1.5836,44,0
Beginner,4100,1.3201,41,0
Beginner,4300,1.8192,43,0
Beginner,4300,1.4066,43,0
Beginner,4400,2.3397,44,0
Beginner,3900,1.0944,39,0
Beginner,4200,1.0597,42,0
Beginner,4300,1.3307,43,0
Beginner,3800,0.9057,38,0
Beginner,4200,1.1288,42,0
Beginner,4400,2.1782,44,0
Beginner,4100,1.6386,41,0
Beginner,4200,2.1653,42,0
Beginner,4300,1.169,43,0
Beginner,3900,0.7255,39,0
Beginner,4000,0.8772,40,0
Beginner,4200,1.0959,42,0
Beginner,4200,1.0718,42,0
Beginner,3800,0.8328,38,0
Beginner,4200,0.9483,42,0
Beginner,3800,0.8297,38,0
