Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Beginner,3700,0.7305,0.3821
Beginner,4400,1.5723,1.0036
Beginner,4400,1.5127,0.9395
Beginner,3900,1.1893,0.5637
Beginner,4200,1.6037,1.0681
Beginner,4200,0.9455,0.4434
Beginner,3700,1.0046,0.4345
Beginner,4000,0.8678,0.4396
Beginner,3700,0.7039,0.2909
Beginner,4000,0.8635,0.4275
Beginner,3800,0.7623,0.3823
Beginner,4100,1.0417,0.5661
Beginner,3700,0.8094,0.4497
Beginner,4300,0.9758,0.4736
Beginner,4100,0.7549,0.3577
Beginner,3900,1.1502,0.5743
Beginner,4300,1.9572,1.3002
Beginner,3700,1.4811,1.1074
Beginner,3700,0.7743,0.2919
Beginner,3700,0.7867,0.3253
Beginner,4400,1.5753,0.9431
Beginner,3900,0.5981,0.2209
Beginner,3700,0.5319,0.2136
Beginner,4400,1.2526,0.7681
Beginner,4400,1.36,0.6756
Beginner,3900,0.7887,0.3469
Beginner,4200,1.2298,0.7401
Beginner,4400,1.0871,0.5075
Beginner,3900,0.9059,0.4714
Beginner,3800,1.5698,0.7463
Beginner,4400,1.0684,0.5194
Beginner,3900,1.0645,0.3899
Beginner,4100,1.3791,0.5676
Beginner,4400,1.4538,0.8409
Beginner,4400,8.844,8.014
Beginner,4200,1.1302,0.5946
Beginner,3700,0.6763,0.2717
Beginner,3700,0.6906,0.3239
Beginner,4200,2.0756,1.54
Beginner,3600,0.8731,0.3932
Beginner,4200,1.5448,0.9905
Beginner,4000,1.5888,0.6132
Beginner,4200,0.9321,0.423
Beginner,3900,1.5816,1.1158
Beginner,3900,0.7141,0.301
Beginner,4400,1.2497,0.6819
Beginner,4400,3.7554,2.9604
Beginner,3700,0.7274,0.3256
Beginner,4100,0.7974,0.323
Beginner,3900,0.8649,0.4154
Beginner,4300,1.088,0.5029
Beginner,3700,1.0664,0.4003
Beginner,4000,0.8895,0.4441
Beginner,4000,1.6767,0.8956
Beginner,3900,0.9676,0.4511
Beginner,4200,1.0157,0.504
Beginner,3700,0.8838,0.3232
Beginner,4000,1.0649,0.6139
Beginner,3700,0.6274,0.2344
Beginner,4000,0.8526,0.4149
Beginner,4100,0.8616,0.3534
Beginner,4100,0.8552,0.3284
Beginner,4400,1.4813,0.8454
Beginner,3700,0.705,0.2623
Beginner,4300,1.124,0.5489
Beginner,3800,1.3409,0.9055
Beginner,3800,0.8508,0.3897
Beginner,4300,1.1441,0.6105
Beginner,3900,0.9427,0.4697
Beginner,4000,1.07,0.6161
Beginner,3900,0.925,0.4748
Beginner,3900,0.9667,0.5107
Beginner,4100,2.8827,1.8956
Beginner,4200,2.2767,1.4005
Beginner,4000,1.698,0.7883
Beginner,4400,1.3191,0.7805
Beginner,4100,0.864,0.3938
Beginner,4300,1.805,1.2838
Beginner,4400,2.004,1.4493
Beginner,4000,0.7967,0.3611
Beginner,4200,1.3753,0.8846
Beginner,3700,0.777,0.3163
Beginner,3800,0.9194,0.3093
