Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Beginner,4200,1.2881,0.729
Beginner,3700,0.9888,0.4833
Beginner,3800,0.7313,0.3746
Beginner,3800,0.8602,0.318
Beginner,4100,1.0876,0.6446
Beginner,4000,1.3686,0.5965
Beginner,3700,0.8173,0.2812
Beginner,4200,1.4575,0.6267
Beginner,3700,0.5871,0.2832
Beginner,3900,0.9841,0.4797
Beginner,4100,0.9339,0.43
Beginner,4000,0.8791,0.2471
Beginner,4000,1.0926,0.4772
Beginner,4100,0.8376,0.4855
Beginner,3900,1.6263,1.2988
Beginner,4400,2.4062,1.9527
Beginner,3800,1.1131,0.3171
Beginner,3700,0.9507,0.6179
Beginner,3700,1.031,0.3753
Beginner,4300,4.1822,2.8473
Beginner,4400,2.5426,0.9851
Beginner,3900,1.1299,0.3626
Beginner,4100,1.2026,0.7111
Beginner,4200,1.3398,0.5816
Beginner,3800,1.1409,0.3305
Beginner,4300,0.9298,0.401
Beginner,4100,0.7682,0.2784
Beginner,3800,0.575,0.2516
Beginner,3800,0.5127,0.1921
Beginner,3800,0.9628,0.2547
Beginner,4000,0.6782,0.3347
Beginner,3800,0.9951,0.4877
Beginner,4000,1.1617,0.4368
Beginner,4400,1.2182,0.5452
Beginner,3700,0.5994,0.2448
Beginner,3800,0.7038,0.3337
Beginner,4200,1.0056,0.3602
Beginner,3900,0.7834,0.3815
Beginner,3800,0.5697,0.2291
Beginner,3800,0.6606,0.3428
Beginner,4000,1.085,0.4105
Beginner,4400,1.1204,0.739
Beginner,4100,0.9929,0.4167
Beginner,3700,0.7064,0.2837
Beginner,3800,0.5137,0.1959
Beginner,4300,1.0129,0.4592
Beginner,4300,1.0865,0.309
Beginner,4100,0.791,0.3586
Beginner,4000,0.8276,0.3617
Beginner,4000,1.3665,1.0398
Beginner,3900,0.6616,0.2122
Beginner,3900,0.759,0.2943
Beginner,3900,0.7431,0.4193
Beginner,4200,1.121,0.5201
Beginner,3900,0.7663,0.2918
Beginner,3800,0.9307,0.3592
Beginner,3900,0.7781,0.3209
Beginner,3800,0.704,0.3163
Beginner,4400,1.172,0.6126
Beginner,4100,0.8441,0.4126
Beginner,4200,1.126,0.4496
Beginner,3900,0.9554,0.5353
Beginner,4000,0.8979,0.3508
Beginner,4100,1.0926,0.414
Beginner,4200,1.0581,0.442
Beginner,4000,0.83,0.4386
Beginner,4400,1.5836,0.8798
Beginner,4100,1.3201,0.5194
Beginner,4300,1.8192,1.0837
Beginner,4300,1.4066,0.9076
Beginner,4400,2.3397,1.654
Beginner,3900,1.0944,0.2618
Beginner,4200,1.0597,0.42
Beginner,4300,1.3307,0.8425
Beginner,3800,0.9057,0.404
Beginner,4200,1.1288,0.3615
Beginner,4400,2.1782,0.7212
Beginner,4100,1.6386,0.6038
Beginner,4200,2.1653,1.4798
Beginner,4300,1.169,0.5466
Beginner,3900,0.7255,0.3227
Beginner,4000,0.8772,0.484
Beginner,4200,1.0959,0.4879
Beginner,4200,1.0718,0.4508
Beginner,3800,0.8328,0.4163
Beginner,4200,0.9483,0.3407
Beginner,3800,0.8297,0.275
Beginner,3900,0.8834,0.4872
Beginner,4100,1.1719,0.4595
Beginner,4100,0.8678,0.4069
Beginner,3900,0.6999,0.3177
Beginner,3700,0.7608,0.3658
Beginner,4100,1.0712,0.6728
Beginner,4000,0.8043,0.3857
Beginner,3700,0.5986,0.2743
Beginner,4300,1.6023,1.1663
Beginner,4400,2.6812,0.441
Beginner,3800,0.7234,0.3369
Beginner,3900,1.0596,0.3467
Beginner,4100,0.7892,0.3856
Beginner,4400,0.8484,0.3741
Beginner,4000,1.017,0.4396
Beginner,4300,1.2912,0.3617
Beginner,4000,1.4609,0.4179
Beginner,3700,1.4619,0.6442
Beginner,3900,0.9055,0.3451
Beginner,3900,0.8527,0.4569
Beginner,4100,1.2023,0.3926
Beginner,3900,1.3785,0.6747
Beginner,4000,2.5652,1.8893
Beginner,3700,0.5854,0.231
Beginner,4300,1.1324,0.3444
Beginner,4300,3.8167,2.4585
Beginner,3800,0.9016,0.3313
Beginner,3900,0.7675,0.3602
Beginner,3700,0.8921,0.3586
Beginner,4200,1.429,0.6369
Beginner,3800,0.6869,0.362
Beginner,4100,0.8909,0.4451
Beginner,4000,1.1188,0.7058
Beginner,4300,2.0064,0.8666
Beginner,3700,0.8169,0.4482
Beginner,4200,1.3536,0.7588
Beginner,3800,7.1254,0.3826
Beginner,4100,2.9516,1.2246
Beginner,3800,2.5737,0.4819
Beginner,3800,2.0984,0.9296
Beginner,4000,1.6273,0.2847
Beginner,4200,3.2884,2.7062
Beginner,4400,2.3275,1.1687
Beginner,3800,1.1411,0.3697
Beginner,3900,0.8389,0.2958
Beginner,3800,0.6682,0.2582
Beginner,4400,2.0149,1.3534
Beginner,4400,1.3479,0.7387
Beginner,4200,1.2464,0.5717
Beginner,4300,1.4681,0.7963
Beginner,3700,0.6817,0.3044
Beginner,4000,0.9345,0.2454
Beginner,3800,1.0465,0.3975
Beginner,3800,0.9911,0.6298
Beginner,3700,0.6625,0.2873
Beginner,4300,1.2875,0.6542
Beginner,4300,2.3636,1.4119
Beginner,3800,1.3525,0.4974
Beginner,3900,0.73,0.349
Beginner,4100,0.729,0.3464
Beginner,4400,1.3396,0.8166
Beginner,3800,0.7805,0.3206
Beginner,4000,1.025,0.3461
Beginner,4300,1.9488,1.1872
Beginner,3700,1.3035,0.3502
Beginner,3800,0.6878,0.3856
Beginner,4400,2.2354,1.8463
Beginner,4000,0.8596,0.3808
Beginner,4200,1.4196,0.4432
Beginner,4200,1.5332,0.9704
Beginner,4100,1.1863,0.7812
Beginner,4000,0.8499,0.4763
Beginner,4200,1.203,0.7699
Beginner,3700,0.5571,0.2246
Beginner,3800,0.477,0.1903
Beginner,4100,1.184,0.6742
Beginner,3700,0.6178,0.2194
Beginner,4400,1.0469,0.6396
Beginner,4300,0.7506,0.3513
Beginner,3700,0.703,0.2962
Beginner,4100,2.2354,1.0562
Beginner,3800,0.9708,0.2789
Beginner,4400,1.5258,1.1214
Beginner,4000,0.6679,0.3194
Beginner,3700,0.7323,0.2005
Beginner,4300,1.0146,0.432
Beginner,3700,0.5822,0.2952
Beginner,4000,0.9733,0.4415
Beginner,3900,0.5962,0.2442
Beginner,3900,0.8182,0.2569
Beginner,4200,0.8485,0.2586
Beginner,4300,1.0944,0.5892
Beginner,4400,1.2656,0.4417
Beginner,3700,0.5527,0.2639
Beginner,4100,0.9168,0.3404
Beginner,4000,0.7441,0.2828
Beginner,4100,1.4472,0.7246
Beginner,4400,0.9815,0.5552
Beginner,4200,0.6871,0.2998
Beginner,4100,1.1801,0.5845
Beginner,3900,1.2657,0.8743
Beginner,4400,1.0966,0.4569
Beginner,4100,1.1715,0.67
Beginner,4200,1.0752,0.369
Beginner,3700,0.6219,0.2068
Beginner,4100,0.8885,0.2929
